dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.35.07, CET,lun 9 mar 2020, 21.35.11, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.37.53, CET,lun 9 mar 2020, 21.37.55, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.37.55, CET,lun 9 mar 2020, 21.37.58, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.37.58, CET,lun 9 mar 2020, 21.38.00, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.00, CET,lun 9 mar 2020, 21.38.03, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.03, CET,lun 9 mar 2020, 21.38.05, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.05, CET,lun 9 mar 2020, 21.38.07, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.07, CET,lun 9 mar 2020, 21.38.10, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.10, CET,lun 9 mar 2020, 21.38.12, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.12, CET,lun 9 mar 2020, 21.38.14, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.14, CET,lun 9 mar 2020, 21.38.17, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.17, CET,lun 9 mar 2020, 21.38.19, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.19, CET,lun 9 mar 2020, 21.38.21, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.21, CET,lun 9 mar 2020, 21.38.24, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.24, CET,lun 9 mar 2020, 21.38.26, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.26, CET,lun 9 mar 2020, 21.38.28, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.28, CET,lun 9 mar 2020, 21.38.31, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.31, CET,lun 9 mar 2020, 21.38.33, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.33, CET,lun 9 mar 2020, 21.38.36, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.36, CET,lun 9 mar 2020, 21.38.38, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.38, CET,lun 9 mar 2020, 21.38.40, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.40, CET,lun 9 mar 2020, 21.38.43, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.43, CET,lun 9 mar 2020, 21.38.45, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.45, CET,lun 9 mar 2020, 21.38.47, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.47, CET,lun 9 mar 2020, 21.38.50, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.50, CET,lun 9 mar 2020, 21.38.52, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.52, CET,lun 9 mar 2020, 21.38.54, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.54, CET,lun 9 mar 2020, 21.38.57, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.57, CET,lun 9 mar 2020, 21.38.59, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.38.59, CET,lun 9 mar 2020, 21.39.02, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.39.02, CET,lun 9 mar 2020, 21.39.04, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.39.04, CET,lun 9 mar 2020, 21.39.06, CET
dropwizard,https://github.com/dropwizard/dropwizard, 4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,./dropwizard-core/, DefaultServerFactoryTest,testGracefulShutdown,test fail, lun 9 mar 2020, 21.39.06, CET,lun 9 mar 2020, 21.39.08, CET
