Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.49.28, CET,mer 11 mar 2020, 03.49.30, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.21, CET,mer 11 mar 2020, 03.50.23, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.23, CET,mer 11 mar 2020, 03.50.25, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.25, CET,mer 11 mar 2020, 03.50.28, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.28, CET,mer 11 mar 2020, 03.50.30, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.30, CET,mer 11 mar 2020, 03.50.33, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.33, CET,mer 11 mar 2020, 03.50.35, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.35, CET,mer 11 mar 2020, 03.50.37, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.37, CET,mer 11 mar 2020, 03.50.40, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.40, CET,mer 11 mar 2020, 03.50.42, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.42, CET,mer 11 mar 2020, 03.50.44, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.44, CET,mer 11 mar 2020, 03.50.47, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.47, CET,mer 11 mar 2020, 03.50.49, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.49, CET,mer 11 mar 2020, 03.50.51, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.51, CET,mer 11 mar 2020, 03.50.54, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.54, CET,mer 11 mar 2020, 03.50.56, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.56, CET,mer 11 mar 2020, 03.50.58, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.50.58, CET,mer 11 mar 2020, 03.51.01, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.01, CET,mer 11 mar 2020, 03.51.03, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.03, CET,mer 11 mar 2020, 03.51.06, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.06, CET,mer 11 mar 2020, 03.51.08, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.08, CET,mer 11 mar 2020, 03.51.10, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.10, CET,mer 11 mar 2020, 03.51.12, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.12, CET,mer 11 mar 2020, 03.51.15, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.15, CET,mer 11 mar 2020, 03.51.17, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.17, CET,mer 11 mar 2020, 03.51.20, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.20, CET,mer 11 mar 2020, 03.51.22, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.22, CET,mer 11 mar 2020, 03.51.24, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.24, CET,mer 11 mar 2020, 03.51.26, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.26, CET,mer 11 mar 2020, 03.51.29, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.29, CET,mer 11 mar 2020, 03.51.31, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.31, CET,mer 11 mar 2020, 03.51.33, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.33, CET,mer 11 mar 2020, 03.51.36, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.36, CET,mer 11 mar 2020, 03.51.38, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.38, CET,mer 11 mar 2020, 03.51.40, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.40, CET,mer 11 mar 2020, 03.51.43, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.43, CET,mer 11 mar 2020, 03.51.45, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.45, CET,mer 11 mar 2020, 03.51.47, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.47, CET,mer 11 mar 2020, 03.51.49, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.49, CET,mer 11 mar 2020, 03.51.52, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.52, CET,mer 11 mar 2020, 03.51.54, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.54, CET,mer 11 mar 2020, 03.51.56, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.56, CET,mer 11 mar 2020, 03.51.58, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.51.58, CET,mer 11 mar 2020, 03.52.01, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.01, CET,mer 11 mar 2020, 03.52.03, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.03, CET,mer 11 mar 2020, 03.52.06, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.06, CET,mer 11 mar 2020, 03.52.08, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.08, CET,mer 11 mar 2020, 03.52.10, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.10, CET,mer 11 mar 2020, 03.52.12, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.12, CET,mer 11 mar 2020, 03.52.15, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.15, CET,mer 11 mar 2020, 03.52.17, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.17, CET,mer 11 mar 2020, 03.52.19, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.19, CET,mer 11 mar 2020, 03.52.22, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.22, CET,mer 11 mar 2020, 03.52.24, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.24, CET,mer 11 mar 2020, 03.52.26, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.26, CET,mer 11 mar 2020, 03.52.29, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.29, CET,mer 11 mar 2020, 03.52.31, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.31, CET,mer 11 mar 2020, 03.52.34, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.34, CET,mer 11 mar 2020, 03.52.36, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.36, CET,mer 11 mar 2020, 03.52.38, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.38, CET,mer 11 mar 2020, 03.52.41, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.41, CET,mer 11 mar 2020, 03.52.43, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.43, CET,mer 11 mar 2020, 03.52.45, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.45, CET,mer 11 mar 2020, 03.52.47, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.47, CET,mer 11 mar 2020, 03.52.50, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.50, CET,mer 11 mar 2020, 03.52.52, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.52, CET,mer 11 mar 2020, 03.52.55, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.55, CET,mer 11 mar 2020, 03.52.57, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.57, CET,mer 11 mar 2020, 03.52.59, CET
Achilles,https://github.com/doanduyhai/Achilles.git, 3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,./integration-test-2_1/, TestCRUDSimpleEntity,should_insert_with_insert_strategy_non_null_fields,test fail, mer 11 mar 2020, 03.52.59, CET,mer 11 mar 2020, 03.53.02, CET
